passengerid,survived,pclass,name,sex,age,sibsp,parch,fare,embarked,familysize,isalone,no_fare,title,fare_category,small_f,med_f,large_f
1,0.0,3,155,1,22.0,1,0,7.25,2,2,0,0,3,1,1,0,0
2,1.0,1,286,0,38.0,1,0,71.2833,0,2,0,0,4,4,1,0,0
3,1.0,3,520,0,26.0,0,0,7.925,2,1,1,0,2,2,0,0,0
4,1.0,1,419,0,35.0,1,0,53.1,2,2,0,0,4,4,1,0,0
5,0.0,3,22,1,35.0,0,0,8.05,2,1,1,0,3,2,0,0,0
6,0.0,3,815,1,28.0,0,0,8.4583,1,1,1,0,3,2,0,0,0
7,0.0,1,764,1,54.0,0,0,51.8625,2,1,1,0,3,4,0,0,0
8,0.0,3,911,1,2.0,3,1,21.075,2,5,0,0,0,3,0,0,1
9,1.0,3,602,0,27.0,0,2,11.1333,2,3,0,0,4,2,0,1,0
10,1.0,2,844,0,14.0,1,0,30.0708,0,2,0,0,4,3,1,0,0
11,1.0,3,1057,0,4.0,1,1,16.7,2,3,0,0,2,3,0,1,0
12,1.0,1,133,0,58.0,0,0,26.55,2,1,1,0,2,3,0,0,0
13,0.0,3,1060,1,20.0,0,0,8.05,2,1,1,0,3,2,0,0,0
14,0.0,3,38,1,39.0,1,5,31.275,2,7,0,0,3,4,0,0,1
15,0.0,3,1211,0,14.0,0,0,7.8542,2,1,1,0,2,1,0,0,0
16,1.0,2,530,0,55.0,0,0,16.0,2,1,1,0,4,3,0,0,0
17,0.0,3,992,1,2.0,4,1,29.125,1,6,0,0,0,3,0,0,1
18,1.0,2,1261,1,28.0,0,0,13.0,2,1,1,0,3,2,0,0,0
19,0.0,3,1207,0,31.0,1,0,18.0,2,2,0,0,4,3,1,0,0
20,1.0,3,757,0,28.0,0,0,7.225,0,1,1,0,4,1,0,0,0
21,0.0,2,420,1,35.0,0,0,26.0,2,1,1,0,3,3,0,0,0
22,1.0,2,112,1,34.0,0,0,13.0,2,1,1,0,3,2,0,0,0
23,1.0,3,775,0,15.0,0,0,8.0292,1,1,1,0,2,2,0,0,0
24,1.0,1,1101,1,28.0,0,0,35.5,2,1,1,0,3,4,0,0,0
25,0.0,3,914,0,8.0,3,1,21.075,2,5,0,0,2,3,0,0,1
26,1.0,3,64,0,38.0,1,5,31.3875,2,7,0,0,4,4,0,0,1
27,0.0,3,371,1,28.0,0,0,7.225,0,1,1,0,3,1,0,0,0
29,1.0,3,882,0,28.0,0,0,7.8792,1,1,1,0,2,1,0,0,0
30,0.0,3,1176,1,28.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
31,0.0,1,1195,1,40.0,0,0,27.7208,0,1,1,0,1,3,0,0,0
32,1.0,1,1121,0,28.0,1,0,146.5208,0,2,0,0,4,4,1,0,0
33,1.0,3,443,0,28.0,0,0,7.75,1,1,1,0,2,1,0,0,0
34,0.0,2,1241,1,66.0,0,0,10.5,2,1,1,0,3,2,0,0,0
35,0.0,1,790,1,28.0,1,0,82.1708,0,2,0,0,3,4,1,0,0
36,0.0,1,551,1,42.0,1,0,52.0,2,2,0,0,3,4,1,0,0
37,1.0,3,747,1,28.0,0,0,7.2292,0,1,1,0,3,1,0,0,0
38,0.0,3,194,1,21.0,0,0,8.05,2,1,1,0,3,2,0,0,0
39,0.0,3,1204,0,18.0,2,0,18.0,2,3,0,0,2,3,0,1,0
40,1.0,3,859,0,14.0,1,0,11.2417,0,2,0,0,2,2,1,0,0
41,0.0,3,12,0,40.0,1,0,9.475,2,2,0,0,4,2,1,0,0
42,0.0,2,1194,0,27.0,1,0,21.0,2,2,0,0,4,3,1,0,0
43,0.0,3,659,1,28.0,0,0,7.8958,0,1,1,0,3,1,0,0,0
44,1.0,2,675,0,3.0,1,2,41.5792,0,4,0,0,2,4,0,1,0
45,1.0,3,325,0,19.0,0,0,7.8792,1,1,1,0,2,1,0,0,0
46,0.0,3,1012,1,28.0,0,0,8.05,2,1,1,0,3,2,0,0,0
47,0.0,3,695,1,28.0,1,0,15.5,1,2,0,0,3,3,1,0,0
48,1.0,3,881,0,28.0,0,0,7.75,1,1,1,0,2,1,0,0,0
49,0.0,3,1055,1,28.0,2,0,21.6792,0,3,0,0,3,3,0,1,0
50,0.0,3,52,0,18.0,1,0,17.8,2,2,0,0,4,3,1,0,0
51,0.0,3,917,1,7.0,4,1,39.6875,2,6,0,0,0,4,0,0,1
52,0.0,3,868,1,21.0,0,0,7.8,2,1,1,0,3,1,0,0,0
53,1.0,1,497,0,49.0,1,0,76.7292,0,2,0,0,4,4,1,0,0
54,1.0,2,381,0,29.0,1,0,26.0,2,2,0,0,4,3,1,0,0
55,0.0,1,904,1,65.0,0,1,61.9792,0,2,0,0,3,4,1,0,0
56,1.0,1,1271,1,28.0,0,0,35.5,2,1,1,0,3,4,0,0,0
57,1.0,2,1028,0,21.0,0,0,10.5,2,1,1,0,2,2,0,0,0
58,0.0,3,870,1,28.5,0,0,7.2292,0,1,1,0,3,1,0,0,0
59,1.0,2,1237,0,5.0,1,2,27.75,2,4,0,0,2,3,0,1,0
60,0.0,3,454,1,11.0,5,2,46.9,2,8,0,0,0,4,0,0,1
61,0.0,3,1085,1,22.0,0,0,7.2292,0,1,1,0,3,1,0,0,0
62,1.0,1,568,0,38.0,0,0,80.0,2,1,1,0,2,4,0,0,0
63,0.0,1,501,1,45.0,1,0,83.475,2,2,0,0,3,4,1,0,0
64,0.0,3,1091,1,4.0,3,2,27.9,2,6,0,0,0,3,0,0,1
65,0.0,1,1133,1,28.0,0,0,27.7208,0,1,1,0,3,3,0,0,0
66,1.0,3,821,1,28.0,1,1,15.2458,0,3,0,0,0,3,0,1,0
67,1.0,2,871,0,29.0,0,0,10.5,2,1,1,0,4,2,0,0,0
68,0.0,3,278,1,19.0,0,0,8.1583,2,1,1,0,3,2,0,0,0
69,1.0,3,34,0,17.0,4,2,7.925,2,7,0,0,2,2,0,0,1
70,0.0,3,649,1,26.0,2,0,8.6625,2,3,0,0,3,2,0,1,0
71,0.0,2,584,1,32.0,0,0,10.5,2,1,1,0,3,2,0,0,0
72,0.0,3,456,0,16.0,5,2,46.9,2,8,0,0,2,4,0,0,1
73,0.0,2,555,1,21.0,0,0,73.5,2,1,1,0,3,4,0,0,0
74,0.0,3,236,1,26.0,1,0,14.4542,0,2,0,0,3,2,1,0,0
75,1.0,3,121,1,32.0,0,0,56.4958,2,1,1,0,3,4,0,0,0
76,0.0,3,806,1,25.0,0,0,7.65,2,1,1,0,3,1,0,0,0
77,0.0,3,1124,1,28.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
78,0.0,3,825,1,28.0,0,0,8.05,2,1,1,0,3,2,0,0,0
79,1.0,2,184,1,0.83,0,2,29.0,2,3,0,0,0,3,0,1,0
80,1.0,3,343,0,30.0,0,0,12.475,2,1,1,0,2,2,0,0,0
81,0.0,3,1213,1,22.0,0,0,9.0,2,1,1,0,3,2,0,0,0
82,1.0,3,1071,1,29.0,0,0,9.5,2,1,1,0,3,2,0,0,0
83,1.0,3,771,0,28.0,0,0,7.7875,1,1,1,0,2,1,0,0,0
84,0.0,1,205,1,28.0,0,0,47.1,2,1,1,0,3,4,0,0,0
85,1.0,2,569,0,17.0,0,0,10.5,2,1,1,0,2,2,0,0,0
86,1.0,3,77,0,33.0,3,0,15.85,2,4,0,0,4,3,0,1,0
87,0.0,3,398,1,16.0,1,3,34.375,2,5,0,0,3,4,0,0,1
88,0.0,3,1100,1,28.0,0,0,8.05,2,1,1,0,3,2,0,0,0
90,0.0,3,218,1,24.0,0,0,8.05,2,1,1,0,3,2,0,0,0
91,0.0,3,233,1,29.0,0,0,8.05,2,1,1,0,3,2,0,0,0
92,0.0,3,42,1,20.0,0,0,7.8542,2,1,1,0,3,1,0,0,0
93,0.0,1,219,1,46.0,1,0,61.175,2,2,0,0,3,4,1,0,0
94,0.0,3,317,1,26.0,1,2,20.575,2,4,0,0,3,3,0,1,0
95,0.0,3,276,1,59.0,0,0,7.25,2,1,1,0,3,1,0,0,0
96,0.0,3,1075,1,28.0,0,0,8.05,2,1,1,0,3,2,0,0,0
97,0.0,1,446,1,71.0,0,0,34.6542,0,1,1,0,3,4,0,0,0
98,1.0,1,466,1,23.0,0,1,63.3583,0,2,0,0,3,4,1,0,0
99,1.0,2,337,0,34.0,0,1,23.0,2,2,0,0,4,3,1,0,0
100,0.0,2,617,1,34.0,1,0,26.0,2,2,0,0,3,3,1,0,0
101,0.0,3,955,0,28.0,0,0,7.8958,2,1,1,0,2,1,0,0,0
102,0.0,3,957,1,28.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
103,0.0,1,1244,1,21.0,0,1,77.2875,2,2,0,0,3,4,1,0,0
104,0.0,3,594,1,33.0,0,0,8.6542,2,1,1,0,3,2,0,0,0
105,0.0,3,472,1,37.0,2,0,7.925,2,3,0,0,3,2,0,1,0
106,0.0,3,801,1,28.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
107,1.0,3,1050,0,21.0,0,0,7.65,2,1,1,0,2,1,0,0,0
108,1.0,3,820,1,28.0,0,0,7.775,2,1,1,0,3,1,0,0,0
109,0.0,3,982,1,38.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
110,1.0,3,813,0,28.0,1,0,24.15,1,2,0,0,2,3,1,0,0
111,0.0,1,971,1,47.0,0,0,52.0,2,1,1,0,3,4,0,0,0
112,0.0,3,1281,0,14.5,1,0,14.4542,0,2,0,0,2,2,1,0,0
113,0.0,3,95,1,22.0,0,0,8.05,2,1,1,0,3,2,0,0,0
114,0.0,3,612,0,20.0,1,0,9.825,2,2,0,0,2,2,1,0,0
115,0.0,3,70,0,17.0,0,0,14.4583,0,1,1,0,2,2,0,0,0
116,0.0,3,940,1,21.0,0,0,7.925,2,1,1,0,3,2,0,0,0
117,0.0,3,262,1,70.5,0,0,7.75,1,1,1,0,3,1,0,0,0
118,0.0,2,1193,1,29.0,1,0,21.0,2,2,0,0,3,3,1,0,0
119,0.0,1,98,1,24.0,0,1,247.5208,0,2,0,0,3,4,1,0,0
120,0.0,3,33,0,2.0,4,2,31.275,2,7,0,0,2,4,0,0,1
121,0.0,2,533,1,21.0,2,0,73.5,2,3,0,0,3,4,0,1,0
122,0.0,3,812,1,28.0,0,0,8.05,2,1,1,0,3,2,0,0,0
123,0.0,2,843,1,32.5,1,0,30.0708,0,2,0,0,3,3,1,0,0
124,1.0,2,1227,0,32.5,0,0,13.0,2,1,1,0,2,2,0,0,0
125,0.0,1,1243,1,54.0,0,1,77.2875,2,2,0,0,3,4,1,0,0
126,1.0,3,858,1,12.0,1,0,11.2417,0,2,0,0,0,2,1,0,0
127,0.0,3,778,1,28.0,0,0,7.75,1,1,1,0,3,1,0,0,0
128,1.0,3,735,1,24.0,0,0,7.1417,2,1,1,0,3,1,0,0,0
129,1.0,3,951,0,28.0,1,1,22.3583,0,3,0,0,2,3,0,1,0
130,0.0,3,364,1,45.0,0,0,6.975,2,1,1,0,3,1,0,0,0
131,0.0,3,347,1,33.0,0,0,7.8958,0,1,1,0,3,1,0,0,0
132,0.0,3,244,1,20.0,0,0,7.05,2,1,1,0,3,1,0,0,0
133,0.0,3,1009,0,47.0,1,0,14.5,2,2,0,0,4,2,1,0,0
134,1.0,2,1231,0,29.0,1,0,26.0,2,2,0,0,4,3,1,0,0
135,0.0,2,1113,1,25.0,0,0,13.0,2,1,1,0,3,2,0,0,0
136,0.0,2,995,1,23.0,0,0,15.0458,0,1,1,0,3,3,0,0,0
137,1.0,1,855,0,19.0,0,2,26.2833,2,3,0,0,2,3,0,1,0
138,0.0,1,418,1,37.0,1,0,53.1,2,2,0,0,3,4,1,0,0
139,0.0,3,901,1,16.0,0,0,9.2167,2,1,1,0,3,2,0,0,0
140,0.0,1,433,1,24.0,0,0,79.2,0,1,1,0,3,4,0,0,0
141,0.0,3,140,0,28.0,0,2,15.2458,0,3,0,0,4,3,0,1,0
142,1.0,3,872,0,22.0,0,0,7.75,2,1,1,0,2,1,0,0,0
143,1.0,3,480,0,24.0,1,0,15.85,2,2,0,0,4,3,1,0,0
144,0.0,3,170,1,19.0,0,0,6.75,1,1,1,0,3,1,0,0,0
145,0.0,2,43,1,18.0,0,0,11.5,2,1,1,0,3,2,0,0,0
146,0.0,2,856,1,19.0,1,1,36.75,2,3,0,0,3,4,0,1,0
147,1.0,3,39,1,27.0,0,0,7.7958,2,1,1,0,3,1,0,0,0
148,0.0,3,395,0,9.0,2,2,34.375,2,5,0,0,2,4,0,0,1
149,0.0,2,849,1,36.5,0,2,26.0,2,3,0,0,3,3,0,1,0
150,0.0,2,176,1,42.0,0,0,13.0,2,1,1,0,1,2,0,0,0
151,0.0,2,96,1,51.0,0,0,12.525,2,1,1,0,1,2,0,0,0
152,1.0,1,937,0,22.0,1,0,66.6,2,2,0,0,4,4,1,0,0
153,0.0,3,787,1,55.5,0,0,8.05,2,1,1,0,3,2,0,0,0
154,0.0,3,1295,1,40.5,0,2,14.5,2,3,0,0,3,2,0,1,0
155,0.0,3,892,1,28.0,0,0,7.3125,2,1,1,0,3,1,0,0,0
156,0.0,1,1260,1,51.0,0,1,61.3792,0,2,0,0,3,4,1,0,0
157,1.0,3,441,0,16.0,0,0,7.7333,1,1,1,0,2,1,0,0,0
158,0.0,3,270,1,30.0,0,0,8.05,2,1,1,0,3,2,0,0,0
159,0.0,3,1103,1,28.0,0,0,8.6625,2,1,1,0,3,2,0,0,0
161,0.0,3,280,1,44.0,0,1,16.1,2,2,0,0,3,3,1,0,0
162,1.0,2,1226,0,40.0,0,0,15.75,2,1,1,0,4,3,0,0,0
163,0.0,3,114,1,26.0,0,0,7.775,2,1,1,0,3,1,0,0,0
164,0.0,3,187,1,17.0,0,0,8.6625,2,1,1,0,3,2,0,0,0
165,0.0,3,916,1,1.0,4,1,39.6875,2,6,0,0,0,4,0,0,1
166,1.0,3,447,1,9.0,0,2,20.525,2,3,0,0,0,3,0,1,0
167,1.0,1,230,0,28.0,0,1,55.0,2,2,0,0,4,4,1,0,0
168,0.0,3,1096,0,45.0,1,4,27.9,2,6,0,0,4,3,0,0,1
169,0.0,1,97,1,28.0,0,0,25.925,2,1,1,0,3,3,0,0,0
170,0.0,3,713,1,28.0,0,0,56.4958,2,1,1,0,3,4,0,0,0
171,0.0,1,1199,1,61.0,0,0,33.5,2,1,1,0,3,4,0,0,0
172,0.0,3,990,1,4.0,4,1,29.125,1,6,0,0,0,3,0,0,1
173,1.0,3,598,0,1.0,1,1,11.1333,2,3,0,0,2,2,0,1,0
174,0.0,3,1088,1,21.0,0,0,7.925,2,1,1,0,3,2,0,0,0
175,0.0,1,1105,1,56.0,0,0,30.6958,0,1,1,0,3,3,0,0,0
176,0.0,3,656,1,18.0,1,1,7.8542,2,3,0,0,3,1,0,1,0
177,0.0,3,684,1,28.0,3,1,25.4667,2,5,0,0,0,3,0,0,1
178,0.0,1,573,0,50.0,0,0,28.7125,0,1,1,0,2,3,0,0,0
179,0.0,2,481,1,30.0,0,0,13.0,2,1,1,0,3,2,0,0,0
180,0.0,3,696,1,36.0,0,0,0.0,2,1,1,1,3,1,0,0,0
182,0.0,2,946,1,28.0,0,0,15.05,0,1,1,0,3,3,0,0,0
183,0.0,3,58,1,9.0,4,2,31.3875,2,7,0,0,0,4,0,0,1
184,1.0,2,106,1,1.0,2,1,39.0,2,4,0,0,0,4,0,1,0
185,1.0,3,650,0,4.0,0,2,22.025,2,3,0,0,2,3,0,1,0
186,0.0,1,1015,1,28.0,0,0,50.0,2,1,1,0,3,4,0,0,0
187,1.0,3,876,0,28.0,1,0,15.5,1,2,0,0,4,3,1,0,0
188,1.0,1,1013,1,45.0,0,0,26.55,2,1,1,0,3,3,0,0,0
189,0.0,3,142,1,40.0,1,1,15.5,1,3,0,0,3,3,0,1,0
190,0.0,3,1190,1,36.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
191,1.0,2,965,0,32.0,0,0,13.0,2,1,1,0,4,2,0,0,0
192,0.0,2,197,1,19.0,0,0,13.0,2,1,1,0,3,2,0,0,0
193,1.0,3,29,0,19.0,1,0,7.8542,2,2,0,0,2,1,1,0,0
194,1.0,2,848,1,3.0,1,1,26.0,2,3,0,0,0,3,0,1,0
195,1.0,1,162,0,44.0,0,0,27.7208,0,1,1,0,4,3,0,0,0
196,1.0,1,729,0,58.0,0,0,146.5208,0,1,1,0,2,4,0,0,0
197,0.0,3,788,1,28.0,0,0,7.75,1,1,1,0,3,1,0,0,0
198,0.0,3,891,1,42.0,0,1,8.4042,2,2,0,0,3,2,1,0,0
199,1.0,3,733,0,28.0,0,0,7.75,1,1,1,0,2,1,0,0,0
200,0.0,2,1280,0,24.0,0,0,13.0,2,1,1,0,2,2,0,0,0
201,0.0,3,1201,1,28.0,0,0,9.5,2,1,1,0,3,2,0,0,0
203,0.0,3,591,1,34.0,0,0,6.4958,2,1,1,0,3,1,0,0,0
204,0.0,3,1277,1,45.5,0,0,7.225,0,1,1,0,3,1,0,0,0
205,1.0,3,245,1,18.0,0,0,8.05,2,1,1,0,3,2,0,0,0
206,0.0,3,1143,0,2.0,0,1,10.4625,2,2,0,0,2,2,1,0,0
207,0.0,3,76,1,32.0,1,0,15.85,2,2,0,0,3,3,1,0,0
208,1.0,3,15,1,26.0,0,0,18.7875,0,1,1,0,3,3,0,0,0
209,1.0,3,203,0,16.0,0,0,7.75,1,1,1,0,2,1,0,0,0
210,1.0,1,131,1,40.0,0,0,31.0,0,1,1,0,3,3,0,0,0
211,0.0,3,19,1,24.0,0,0,7.05,2,1,1,0,3,1,0,0,0
212,1.0,2,189,0,35.0,0,0,21.0,2,1,1,0,2,3,0,0,0
213,0.0,3,945,1,22.0,0,0,7.25,2,1,1,0,3,1,0,0,0
214,0.0,2,442,1,30.0,0,0,13.0,2,1,1,0,3,2,0,0,0
215,0.0,3,644,1,28.0,1,0,7.75,1,2,0,0,3,1,1,0,0
216,1.0,1,852,0,31.0,1,0,113.275,0,2,0,0,2,4,1,0,0
217,1.0,3,554,0,27.0,0,0,7.925,2,1,1,0,2,2,0,0,0
218,0.0,2,576,1,42.0,1,0,27.0,2,2,0,0,3,3,1,0,0
219,1.0,1,100,0,32.0,0,0,76.2917,0,1,1,0,2,4,0,0,0
220,0.0,2,502,1,30.0,0,0,10.5,2,1,1,0,3,2,0,0,0
221,1.0,3,1145,1,16.0,0,0,8.05,2,1,1,0,3,2,0,0,0
222,0.0,2,148,1,27.0,0,0,13.0,2,1,1,0,3,2,0,0,0
223,0.0,3,464,1,51.0,0,0,8.05,2,1,1,0,3,2,0,0,0
224,0.0,3,850,1,28.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
225,1.0,1,561,1,38.0,1,0,90.0,2,2,0,0,3,4,1,0,0
226,0.0,3,116,1,22.0,0,0,9.35,2,1,1,0,3,2,0,0,0
227,1.0,2,786,1,19.0,0,0,10.5,2,1,1,0,3,2,0,0,0
228,0.0,3,724,1,20.5,0,0,7.25,2,1,1,0,3,1,0,0,0
229,0.0,2,377,1,18.0,0,0,13.0,2,1,1,0,3,2,0,0,0
230,0.0,3,687,0,28.0,3,1,25.4667,2,5,0,0,2,3,0,0,1
231,1.0,1,503,0,35.0,1,0,83.475,2,2,0,0,4,4,1,0,0
232,0.0,3,679,1,29.0,0,0,7.775,2,1,1,0,3,1,0,0,0
233,0.0,2,1090,1,59.0,0,0,13.5,2,1,1,0,3,2,0,0,0
234,1.0,3,61,0,5.0,4,2,31.3875,2,7,0,0,2,4,0,0,1
235,0.0,2,701,1,24.0,0,0,10.5,2,1,1,0,3,2,0,0,0
236,0.0,3,493,0,28.0,0,0,7.55,2,1,1,0,2,1,0,0,0
237,0.0,2,547,1,44.0,1,0,26.0,2,2,0,0,3,3,1,0,0
238,1.0,2,253,0,8.0,0,2,26.25,2,3,0,0,2,3,0,1,0
239,0.0,2,944,1,19.0,0,0,10.5,2,1,1,0,3,2,0,0,0
240,0.0,2,565,1,33.0,0,0,12.275,2,1,1,0,3,2,0,0,0
241,0.0,3,1282,0,28.0,1,0,14.4542,0,2,0,0,2,2,1,0,0
242,1.0,3,830,0,28.0,1,0,15.5,1,2,0,0,2,3,1,0,0
243,0.0,2,249,1,29.0,0,0,10.5,2,1,1,0,3,2,0,0,0
244,0.0,3,736,1,22.0,0,0,7.125,2,1,1,0,3,1,0,0,0
245,0.0,3,71,1,30.0,0,0,7.225,0,1,1,0,3,1,0,0,0
246,0.0,1,796,1,44.0,2,0,90.0,1,3,0,0,1,4,0,1,0
247,0.0,3,703,0,25.0,0,0,7.775,2,1,1,0,2,1,0,0,0
248,1.0,2,483,0,24.0,0,2,14.5,2,3,0,0,4,2,0,1,0
249,1.0,1,110,1,37.0,1,1,52.5542,2,3,0,0,3,4,0,1,0
250,0.0,2,212,1,54.0,1,0,26.0,2,2,0,0,1,3,1,0,0
251,0.0,3,980,1,28.0,0,0,7.25,2,1,1,0,3,1,0,0,0
252,0.0,3,1144,0,29.0,1,1,10.4625,2,3,0,0,4,2,0,1,0
253,0.0,1,1129,1,62.0,0,0,26.55,2,1,1,0,3,3,0,0,0
254,0.0,3,716,1,30.0,1,0,16.1,2,2,0,0,3,3,1,0,0
255,0.0,3,1018,0,41.0,0,2,20.2125,2,3,0,0,4,3,0,1,0
256,1.0,3,1185,0,29.0,0,2,15.2458,0,3,0,0,4,3,0,1,0
257,1.0,1,1171,0,28.0,0,0,79.2,0,1,1,0,4,4,0,0,0
258,1.0,1,228,0,30.0,0,0,86.5,2,1,1,0,2,4,0,0,0
259,1.0,1,1216,0,35.0,0,0,512.3292,0,1,1,0,2,4,0,0,0
260,1.0,2,925,0,50.0,0,1,26.0,2,2,0,0,4,3,1,0,0
